Season,Start Year,Num Teams,Matches,Champion,Title-Winning Points,2nd Place,2nd Place Points,3rd Place,3rd Place Points,4th Place,4th Place Points,Survived Relegation,Relegation Survival Points,Relegated 1,Relegated 2,Relegated 3
1992/93,1992,18,38,Paris Saint-Germain,51,Monaco,51,Bordeaux,48,Nantes,45,Sochaux,32,Lille,Toulon,Nîmes
1993/94,1993,20,38,Paris Saint-Germain,59,Marseille,51,Auxerre,46,Bordeaux,46,Le Havre,29,Martigues,Toulouse,Angers
1994/95,1994,20,38,Nantes,79,Lyon,69,Paris Saint-Germain,67,Auxerre,62,Montpellier,41,Saint-Étienne,Caen,Sochaux
1995/96,1995,20,38,Auxerre,72,Paris Saint-Germain,68,Monaco,68,Metz,65,Lille,39,Gueugnon,Saint-Étienne,Martigues
1996/97,1996,20,38,Monaco,79,Paris Saint-Germain,67,Nantes,64,Bordeaux,63,Caen,37,Nancy,Lille,Nice
1997/98,1997,18,38,Lens,68,Metz,68,Monaco,59,Marseille,57,Toulouse,36,Guingamp,Châteauroux,Cannes
1998/99,1998,18,38,Bordeaux,72,Marseille,71,Lyon,63,Monaco,62,Le Havre,35,Lorient,Sochaux,Toulouse
2000/01,2000,18,38,Nantes,68,Lyon,64,Lille,59,Bordeaux,57,Marseille,40,Toulouse,Saint-Étienne,Strasbourg
2001/02,2001,18,38,Lyon,66,Lens,64,Auxerre,59,Paris Saint-Germain,58,Monaco,39,Guingamp,Metz,Lorient
2002/03,2002,20,38,Lyon,68,Monaco,67,Marseille,65,Bordeaux,64,Ajaccio,39,Le Havre,Sedan,Troyes
2003/04,2003,20,38,Lyon,79,Paris Saint-Germain,76,Monaco,75,Auxerre,65,Bastia,39,Guingamp,Le Mans,Montpellier
2004/05,2004,20,38,Lyon,79,Lille,67,Monaco,63,Rennes,55,Nantes,43,Caen,Bastia,Istres
2005/06,2005,20,38,Lyon,84,Bordeaux,69,Lille,62,Lens,60,Troyes,39,Ajaccio,Strasbourg,Metz
2006/07,2006,20,38,Lyon,81,Marseille,64,Toulouse,58,Rennes,57,Valenciennes,43,Troyes,Sedan,Nantes
2007/08,2007,19,38,Lyon,79,Bordeaux,75,Marseille,62,Nancy,60,Paris Saint-Germain,43,Toulouse,Lens,Strasbourg
2008/09,2008,20,38,Bordeaux,80,Marseille,77,Lyon,71,Toulouse,64,Saint-Étienne,40,Caen,Nantes,Le Havre
2009/10,2009,20,38,Marseille,78,Lyon,72,Auxerre,71,Lille,70,Saint-Étienne,40,Le Mans,Boulogne,Grenoble
2010/11,2010,20,38,Lille,76,Marseille,68,Lyon,64,Paris Saint-Germain,60,Nice,46,Monaco,Lens,Arles-Avignon
2011/12,2011,20,38,Montpellier,82,Paris Saint-Germain,79,Lille,74,Lyon,64,Lorient,39,Caen,Dijon,Auxerre
2012/13,2012,19,38,Paris Saint-Germain,83,Marseille,71,Lyon,67,Nice,64,Evian,40,Nancy,Troyes,Brest
2013/14,2013,20,38,Paris Saint-Germain,89,Monaco,80,Lille,71,Saint-Étienne,69,Nice,42,Sochaux,Valenciennes,Ajaccio
2014/15,2014,20,38,Paris Saint-Germain,83,Lyon,75,Monaco,71,Marseille,69,Toulouse,42,Evian,Metz,Lens
2015/16,2015,20,38,Paris Saint-Germain,96,Monaco,65,Lyon,65,Nice,63,Toulouse,40,Reims,Gazélec Ajaccio,Troyes
2016/17,2016,20,38,Monaco,95,Paris Saint-Germain,87,Nice,78,Lyon,67,Caen,37,Lorient,Nancy,Bastia
2017/18,2017,20,38,Paris Saint-Germain,93,Monaco,80,Lyon,78,Marseille,77,Lille,38,Toulouse,Troyes,Metz
2018/19,2018,20,38,Paris Saint-Germain,91,Lille,75,Lyon,72,Saint-Étienne,66,Monaco,36,Dijon,Caen,Guingamp
2020/21,2020,20,38,Lille,83,Paris Saint-Germain,82,Monaco,78,Lyon,76,Brest,41,Nantes,Nîmes,Dijon
2022/23,2022,20,38,Paris Saint-Germain,85,Lens,84,Marseille,73,Rennes,68,Auxerre,35,Ajaccio,Troyes,Angers
2023/24,2023,16,34,Paris Saint-Germain,76,Monaco,67,Brest,61,Lille,59,Strasbourg,39,Nantes,Le Havre,Clermont
2024/25,2024,18,34,Paris Saint-Germain,84,Marseille,65,Monaco,61,Nice,60,Le Havre,34,Reims,Saint-Étienne,Montpellier
